TA2ID;English
1068*1;Vertebra L1
1068*2;Vertebra L2
1068*3;Vertebra L3
1068*4;Vertebra L4
1068*5;Vertebra L5
1056;Carotid tubercle
1057;Vertebra prominens
1058;Thoracic vertebrae
1059;Thoracic vertebra
1060;Superior costal facet
1061;Inferior costal facet
1062;Transverse costal facet
1063;First thoracic vertebra
1064;Uncinate process of first thoracic vertebra
1065;Lower thoracic vertebra
1066;Costal facet
1067;Lumbar vertebrae
1068;Lumbar vertebra
1069;Accessory process
1070;Mamillary process
1071;Sacrum
1072;Base of sacrum
1073;Promontory
1074;Ala of sacrum
1075;Superior articular process of sacrum
1076;Lateral part of sacrum
1077;Auricular surface of sacrum
1078;Sacral tuberosity
1079;Pelvic surface of sacrum
1080;Transverse ridges
1081;Intervertebral foramina
1082;Anterior sacral foramina
1083;Dorsal surface of sacrum
1084;Median sacral crest
1085;Posterior sacral foramina
1086;Intermediate sacral crest
1087;Lateral sacral crest
1088;Sacral horn
1089;Sacral canal
1090;Sacral hiatus
1091;Apex of sacrum
1092;Coccyx
1093;Base of coccyx
1094;Coccygeal horn
1095;Apex of coccyx
1096;Thoracic skeleton
1097;Cavity of bony thorax
1098;Superior thoracic aperture
1099;Inferior thoracic aperture
1100;Pulmonary groove
1101;Costal arch
1102;Intercostal space
1103;Infrasternal angle
1104;Bones of thorax
1105;Ribs
1106;True ribs
1107;First rib
1108;Scalene tubercle
1109;Groove for subclavian artery
1110;Groove for subclavian vein
1111;Second rib
1112;Tuberosity for serratus anterior muscle
1106*3;Third rib
1106*4;Fourth rib
1106*5;Fifth rib
1106*6;Sixth rib
1106*7;Seventh rib
1113*8;Eighth rib
1113*9;Ninth rib
1113*10;Tenth rib
1114*11;Eleventh rib
1114*12;Twelfth rib
1113;False ribs
1114;Floating ribs
1115;Supernumerary ribs
1116;(Cervical rib)
1117;(Lumbar rib)
1118;Rib
1119;Head of rib
1120;Articular facets of head of rib
1121;Crest of head of rib
1122;Neck of rib
1123;Crest of neck of rib
1124;Body of rib
1125;Tubercle of rib
1126;Articular facet of tubercle of rib
1127;Angle of rib
1128;Costal groove
1129;Sternum
1130;Manubrium of sternum
1131;Clavicular notch
1132;Jugular notch of sternum
1133;Sternal angle
1134;Body of sternum
1135;Xiphoid process
1136;Costal notches
1137;Accessory bones of thorax
1138;(Suprasternal bones)
1139;Costal cartilages
1140*1;Costal cartilage of first rib
1140*2;Costal cartilage of second rib
1140*3;Costal cartilage of third rib
1140*4;Costal cartilage of fourth rib
1140*5;Costal cartilage of fifth rib
1140*6;Costal cartilage of sixth rib
1140*7;Costal cartilage of seventh rib
1140*8;Costal cartilage of eighth rib
1140*9;Costal cartilage of ninth rib
